mesh-id,category
A000399,CD52-directed Cytolytic Antibody
A000400,Myelosuppressive Agents
A000401,Narrow Therapeutic Index Drugs
A000402,Selective Immunosuppressants
A000403,Alimentary Tract and Metabolism
A000404,Hydrolytic Lysosomal Glucocerebroside-specific Enzyme
A000405,Diagnostic Radiopharmaceuticals
D007202,Indicators and Reagents
A000406,Indium (111In) Compounds
D019995,Laboratory Chemicals
D011471,Prostatic Neoplasms
A000407,Tumour Detection
A000408,Alimentary Tract and Metabolism
A000409,Hydrolytic Lysosomal Glycosaminoglycan-specific Enzyme
A000410,"Iduronidase, antagonists & inhibitors"
A000411,Agents causing hyperkalemia
A000412,Agents Causing Muscle Toxicity
A000413,Agents that produce hypertension
A000414,Agents that produce neuromuscular block (indirect)
A000415,Agents that reduce seizure threshold
A000416,BCRP/ABCG2 Inhibitors
A000417,BSEP/ABCB11 Inhibitors
A000418,BSEP/ABCB11 Substrates
A000419,BSEP/ABCB11 Substrates with a Narrow Therapeutic Index
A000420,Calcineurin Inhibitor Immunosuppressant
D065095,Calcineurin Inhibitors
D003524,Cyclosporins
A000421,Cytochrome P-450 CYP2C19 inhibitors (strength unknown)
A000422,Cytochrome P-450 CYP2D6 Inhibitors (moderate)
A000423,Cytochrome P-450 CYP3A Substrates
A000424,Cytochrome P-450 CYP3A4 Inhibitors (moderate)
A000425,Cytochrome P-450 CYP3A4 Substrates
A000426,Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index
A000427,Cytochrome P-450 CYP3A5 Substrates
A000428,Cytochrome P-450 CYP3A5 Substrates with a Narrow Therapeutic Index
A000429,Cytochrome P-450 Substrates
A000430,Narrow Therapeutic Index Drugs
A000431,Nephrotoxic agents
A000432,Neurotoxic agents
A000433,OAT1/SLC22A6 inhibitors
A000434,OAT1/SLC22A6 Substrates
A000435,OATP1B1/SLCO1B1 Inhibitors
A000436,OATP1B1/SLCO1B1 Substrates
A000437,OATP1B3 inhibitors
A000438,Ophthalmologicals
A000439,P-glycoprotein inhibitors
A000440,P-glycoprotein substrates
A000441,P-glycoprotein substrates with a Narrow Therapeutic Index
A000442,Antineoplastic and Immunomodulating Agents
A000443,CD2-directed Antibody Interactions
A000444,CD2-directed LFA-3/Fc Fusion Protein
D018968,CD58 Antigens
D008562,Membrane Glycoproteins
D011993,Recombinant Fusion Proteins
A000445,Selective Immunosuppressants
A000446,Vasopressin and Analogues
A000447,Genito Urinary System and Sex Hormones
A000448,Gonadotropins and Antigonadotropins
A000449,Sex Hormones and Modulators of the Genital System
D018845,"Antigens, CD11"
A000450,Antineoplastic and Immunomodulating Agents
A000451,Cancer immunotherapy
A000452,CD11a-directed Antibody Interactions
A000453,CD11a-directed Humanized IgG1 Antibody
A000454,Selective Immunosuppressants
A000455,Genito Urinary System and Sex Hormones
A000456,Gonadotropins and Antigonadotropins
A000457,Sex Hormones and Modulators of the Genital System
A000458,Antibody-Surface Protein Interactions
A000459,Antineoplastic and Immunomodulating Agents
D001769,Blood
D001826,Body Fluids
D005441,Fluids and Secretions
D007106,Immune Sera
A000460,Increased T Lymphocyte Destruction
A000461,Lymphocyte Function Alteration
A000462,Miscellaneous Therapeutic Agents
A000463,Selective Immunosuppressants
A000464,Antineoplastic and Immunomodulating Agents
A000465,Increased Myeloid Cell Production
A000466,Leukocyte Growth Factor
A000467,Increased Coagulation Activity
D000143,Acids
D000148,"Acids, Noncarboxylic"
A000468,Alimentary Tract and Metabolism
D043925,Angiogenesis Inducing Agents
D043924,Angiogenesis Modulating Agents
A000469,Cicatrizants
D004268,DNA-Binding Proteins
D006133,Growth Substances
A000470,Human Platelet-derived Growth Factor
D009363,Neoplasm Proteins
D015513,Oncogene Proteins
D010756,Phosphoric Acids
D017976,Phosphorus Acids
D017553,Phosphorus Compounds
D010982,Platelet-Derived Growth Factor
A000471,Preparations for Treatment of Wounds and Ulcers
D011518,Proto-Oncogene Proteins
D020574,Proto-Oncogene Proteins c-sis
A000472,Stomatological Preparations
A000473,Alimentary Tract and Metabolism
D005696,Galactosidases
