id,derived-from,name,organism
BE0000228,"Tryptophan--tRNA ligase, cytoplasmic",Humans
BE0001343,Tryptophan--tRNA ligase,Geobacillus stearothermophilus
BE0002311,"Tryptophan--tRNA ligase, mitochondrial",Humans
BE0000701,"Cysteine--tRNA ligase, cytoplasmic",Humans
BE0001145,Methylated-DNA--protein-cysteine methyltransferase,Humans
BE0002312,"Probable cysteine--tRNA ligase, mitochondrial",Humans
BE0000569,Cysteine dioxygenase type 1,Humans
BE0000157,Thiamin pyrophosphokinase 1,Humans
BE0004902,Voltage-dependent calcium channel,Humans
BE0000262,Prostaglandin G/H synthase 2,Humans
BE0000017,Prostaglandin G/H synthase 1,Humans
BE0000608,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",Humans
BE0000766,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",Humans
BE0000067,"Nitric oxide synthase, brain",Humans
